iter	Passed	Remaining
0	358	35490
1	579	28417
2	796	25759
3	1015	24361
4	1238	23530
5	1476	23126
6	1697	22555
7	1923	22123
8	2156	21801
9	2382	21439
10	2605	21084
11	2826	20726
12	3053	20431
13	3278	20139
14	3518	19938
15	3749	19687
16	3975	19409
17	4197	19119
18	4418	18835
19	4640	18560
20	4846	18233
21	5054	17922
22	5267	17634
23	5480	17354
24	5689	17067
25	5888	16758
26	6093	16474
27	6318	16247
28	6531	15991
29	6740	15727
30	6940	15447
31	7140	15172
32	7342	14908
33	7550	14656
34	7755	14403
35	7959	14150
36	8163	13900
37	8369	13656
38	8563	13394
39	8764	13147
40	8966	12902
41	9167	12660
42	9364	12412
43	9569	12178
44	9778	11951
45	9989	11726
46	10199	11501
47	10404	11271
48	10608	11041
49	10806	10806
50	11012	10580
51	11216	10353
52	11414	10122
53	11610	9890
54	11814	9666
55	12019	9443
56	12216	9215
57	12417	8991
58	12625	8773
59	12838	8559
60	13045	8340
61	13241	8115
62	13445	7896
63	13646	7675
64	13852	7459
65	14053	7239
66	14266	7026
67	14462	6806
68	14664	6588
69	14871	6373
70	15092	6164
71	15304	5951
72	15504	5734
73	15722	5523
74	15946	5315
75	16145	5098
76	16350	4883
77	16574	4674
78	16780	4460
79	16979	4244
80	17175	4028
81	17378	3814
82	17589	3602
83	17803	3391
84	18020	3180
85	18226	2967
86	18436	2754
87	18657	2544
88	18876	2333
89	19100	2122
90	19317	1910
91	19536	1698
92	19750	1486
93	19973	1274
94	20191	1062
95	20410	850
96	20636	638
97	20859	425
98	21072	212
99	21286	0
